latitude,longitude,is_crop,crop_type,capture_info,capture_time,image_url,driving_northing,driving_easting,is_right_hand_drive,adm1,adm2,year,is_maize,image_path
1.1307368916494316,35.09874371090061,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPBM8450,2021-07-12 10:55:10+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPBM8450.JPG,9.792291883015425,5.15857082454022,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPBM8450.JPG
1.180457496751208,35.10641539186584,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPBU8814,2021-07-12 11:05:19+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPBU8814.JPG,10.706702975730876,0.0809455849230289,False,TransNzoia,Kwanza,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPBU8814.JPG
1.1805479079569343,35.10641545993231,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPBU8816,2021-07-12 11:05:20+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPBU8816.JPG,10.85008236966678,-0.4535283347358927,False,TransNzoia,Kwanza,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPBU8816.JPG
1.072517695322181,35.0900799789151,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPBY8953,2021-07-12 11:47:08+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPBY8953.JPG,-11.666453072451986,3.403538168524392,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPBY8953.JPG
1.072427283098441,35.09007991755836,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPBY8955,2021-07-12 11:47:09+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPBY8955.JPG,-11.013979922849105,3.258362870896235,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPBY8955.JPG
1.0652827529438822,35.09294941071066,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPCA9051,2021-07-12 11:48:37+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9051.JPG,-5.229636657124502,2.898151875822805,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9051.JPG
1.0651922794598054,35.093039172220585,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPCA9053,2021-07-12 11:48:38+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9053.JPG,-5.20747510966612,2.953802100615576,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9053.JPG
1.065101867403426,35.09303911119681,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPCA9055,2021-07-12 11:48:39+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9055.JPG,-5.207467822547187,2.9649289424996823,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9055.JPG
1.0650113939322507,35.093128872704064,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPCA9056,2021-07-12 11:48:39+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9056.JPG,-9.906346473959276,5.651192014920525,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9056.JPG
1.0649209818809728,35.09312881168802,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPCA9058,2021-07-12 11:48:40+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9058.JPG,-9.386710677310475,5.339113219990395,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9058.JPG
1.064830508422699,35.0932185731926,1,maize,KENYA_v2-2021_07_12_T2-103GOPRO-GPCA9061,2021-07-12 11:48:42+00:00,https://storage.cloud.google.com/street2sat-public/KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9061.JPG,-4.201366902838345,2.374196205288172,False,TransNzoia,Cherangany,2021,1,KENYA_v2/2021_07_12_T2/103GOPRO/GPCA9061.JPG
