"id","wkb_geometry","objectid","code","name","roadside_sony","speed","timestamp","ctrdist","objectid_survey","code_surveyed","bbch","roadside_surveyed","observation_time","code_bbch_surveyed","distance_ratio","basename","filepath_url"
178,"0101000020E61000006BF35101BB931640950582AECC5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04622.JPG","L",11.2,"2018-10-17 14:07:18",186.391706144589,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.878821653081222,"NL2018_20181017_Links_Sony_108MSDCF_DSC04622.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04622.JPG"
180,"0101000020E61000002DD3066623931640DCB14756CD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04616.JPG","L",38.28,"2018-10-17 14:07:12",172.443128034349,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.813055247877203,"NL2018_20181017_Links_Sony_108MSDCF_DSC04616.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04616.JPG"
184,"0101000020E6100000784F16BB2E92164026E4839ECD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04611.JPG","L",47.39,"2018-10-17 14:07:07",170.297872477573,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.802940543346173,"NL2018_20181017_Links_Sony_108MSDCF_DSC04611.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04611.JPG"
190,"0101000020E6100000AE3938D50B941640EAE63D72CD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04653.JPG","L",22.8,"2018-10-17 14:07:49",193.322897252697,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.911501652387222,"NL2018_20181017_Links_Sony_108MSDCF_DSC04653.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04653.JPG"
195,"0101000020E61000008CBE8234639116405B25581CCE5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04607.JPG","L",47.48,"2018-10-17 14:07:03",184.83245314955,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.87146990271091,"NL2018_20181017_Links_Sony_108MSDCF_DSC04607.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04607.JPG"
198,"0101000020E61000000FF25185DD931640020EA14ACD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04651.JPG","L",17.29,"2018-10-17 14:07:47",188.232880892346,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.887502641462651,"NL2018_20181017_Links_Sony_108MSDCF_DSC04651.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04651.JPG"
201,"0101000020E6100000A56837B5F7921640E0E74264CD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20181017/Links/Sony/108MSDCF/DSC04615.JPG","L",43.93,"2018-10-17 14:07:11",170.343065470133,16936,"SBT",39,"L","2018-10-17 14:07:22","SBT39",0.803153624610628,"NL2018_20181017_Links_Sony_108MSDCF_DSC04615.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20181017_Links_Sony_108MSDCF_DSC04615.JPG"
213,"0101000020E6100000CCA6548622931640020EA14ACD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20180920/Links/Sony/108MSDCF/DSC06835.JPG","L",32.32,"2018-09-20 13:57:00",172.549206885794,16936,"SBT",39,"L","2018-09-20 13:57:00","SBT39",0.81355540098762,"NL2018_20180920_Links_Sony_108MSDCF_DSC06835.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20180920_Links_Sony_108MSDCF_DSC06835.JPG"
216,"0101000020E61000007629A6CFBF931640983B7DBCCC5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20180920/Links/Sony/108MSDCF/DSC06841.JPG","L",13.16,"2018-09-20 13:57:06",186.716555197288,16936,"SBT",39,"L","2018-09-20 13:57:00","SBT39",0.880353289801548,"NL2018_20180920_Links_Sony_108MSDCF_DSC06841.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20180920_Links_Sony_108MSDCF_DSC06841.JPG"
236,"0101000020E61000005BC0FC12A2921640152917E2CD5A4A40",16936,"SBT","/mnt/mars/Projects/2016_LANDSENSE/Data/NL2018/20180815/Links/Sony/109MSDCF/DSC00084.JPG","L",39.21,"2018-08-15 14:22:42",167.045423634521,16936,"SBT",39,"L","2018-08-15 14:23:17","SBT39",0.787605513006376,"NL2018_20180815_Links_Sony_109MSDCF_DSC00084.JPG","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/FlevoVision/training//SBT39/projectData_COP4AGRI_NL2018_20180815_Links_Sony_109MSDCF_DSC00084.JPG"
